2276
qstr_{reg61}.0{reg62} {reg61}.0{reg62}
qstr_STR: STR:
qstr_AGI: AGI:
qstr_INT: INT:
qstr_CHA: CHA:
qstr_Health: Health:
qstr_Level: Level:
qstr_To_next_lvl:_ To_next_lvl:_
qstr_Ironflesh^Power_Stri Ironflesh^Power_Strike^Power_Throw^Power_Draw^Weapon_Master^Shield^Athletics^Riding^Horse_Archery^Looting^Trainer^Tracking^
qstr_Tactics^Path_finding Tactics^Path-finding^Spotting^Inventory_Management^Wound_Treatment^Surgery^First_Aid^Engineer^Persuasion^Prisoner_Management^Leadership^Trade
qstr_10 10
qstr_One_Handed_Weapons:^ One_Handed_Weapons:^^Two_Handed_Weapons:^^Polearms:^^Archery:^^Crossbows:^^Throwing:^^Firearms:
qstr_350^^350^^350^^350^^ 350^^350^^350^^350^^350^^350^^350
qstr__{reg1}_ _{reg1}_
qstr__100%__ _100%__
qstr__30_ _30_
qstr__3333333333_ _3333333333_
qstr__Weapons_ -Weapons-
qstr__Armor_ -Armor-
qstr_n/a_________________ n/a________________________________
qstr_{s9}_feels... {s9}_feels...
qstr_{s6} {s6}
qstr_your_choice_of_compa your_choice_of_companions,
qstr_{s7} {s7}
qstr_your_style_of_leader your_style_of_leadership_and...
qstr_{s8} {s8}
qstr_the_general_state_of the_general_state_of_affairs.^------------------------------
qstr_Morale:_____________ Morale:_______________________^^Origin:__________
qstr_State:______________ State:_______________________
qstr_Startpage_set__Exten Startpage_set_(Extended_View)
qstr_How_will_your_male_v How_will_your_male_vassals_be_known?
qstr_How_will_your_female How_will_your_female_vassals_be_known?
qstr_Default_title. Default_title.
qstr_Set_Custom_Titles. Set_Custom_Titles.
qstr_Use_fief_based_title Use_fief-based_titles_(Default).
qstr_What_will_your_party What_will_your_party_be_known_as?
qstr_By_the_name_entered_ By_the_name_entered_above.
qstr_Simply_by_my_name:_{ Simply_by_my_name:_{s5}.
qstr__{s2}_siege_camp. _{s2}_siege_camp.
qstr__Continue_ _Continue_
qstr_Manage_Ship Manage_Ship
qstr_{s12}Cogs_are_large_ {s12}Cogs_are_large_sailing_ships_with_their_bows_and_sterns_built_at_a_higher_level_than_the_rest_of_the_ship_in_order_to_form_a_castle_like_structure,which_is_used_to_defend_the_ship_from_enemies_using_archers._The_Cog_was_the_first_type_of_boat_that_used_the_new_idea_of_a_rudder_mounted_on_the_sternfor_steering_purpose._However_as_this_is_still_a_rather_new_idea,_many_cogs_are_still_equipped_with_steering_oars,_which_were_also_known_as_side_rudders.The_early_cogs,_weren't_very_large_and_had_open_hulls_which_didnt_offer_much_sailing_capability.^^Nowadays_the_cogs_are_used_for_sailing_through_rough_waters_and_their_hull_is_made_from_clinker_construction,_which_provides_them_withadded_strength_and_robustness._Their_hulls_also_grew_in_size_as_they_evolved_into_large_cargo_carriers.^^Cog_are_ships_with_flat_bottoms._They_have_a_ridge_or_keel_that_runs_along_the_lower_side_of_the_ship._On_both_sides_of_the_keel,_thereis_lapstrake_planking,_firmly_fixed_by_iron_nails._The_stern_and_stern_posts_are_both_straight_in_shape_and_attached_to_the_keel_plateby_means_of_hooks._The_plank_of_the_keel_is_thicker_than_the_lapstrake_and_planking_at_the_sites_and_moreover,_the_stern_mounted_centralrudder_is_an_integral_part_of_the_cog_construction._It_is_this_design,_that_makes_cogs_more_stable_than_any_other_type_of_ship.^^Generally_built_from_oak_wood,_cogs_have_only_a_single_long_mast,_which_carries_a_massive_square_sail._The_size_of_the_sail_depends_on_the_size_of_the_hull._This_means_that_as_the_size_of_cog_hull_became_bigger,_the_size_of_sails_also_increased._The_only_drawback_of_this_constructionwas_that_it_prevented_sailing_directly_into_the_wind._However_it_facilitated_the_yacht_so_far,_that_it_could_be_handled_by_a_small_crew,reducing_the_overall_operational_cost.
qstr_Select_ship: Select_ship:
qstr_Name_your_ship: Name_your_ship:
qstr_Rename_Ship. Rename_Ship.
qstr_Send_ship_to_port: Send_ship_to_port:
qstr_Verify. Verify.
qstr_Manage_the_crew. Manage_the_crew.
qstr_View_the_ship_regist View_the_ship_registry.
qstr_This_is_your_ship__{ This_is_your_ship_'{s13}'._The_crew_is_currently_made_up_of_{reg7}_men.^^
qstr_Make_sure_you_select Make_sure_you_selected_a_ship
qstr_Your_ship_{s15}_succ Your_ship_{s15}_succesfully_set_sail_for_{s16}.
qstr_Make_sure_a_ship_is_ Make_sure_a_ship_is_selected,_it_has_a_sufficient_crew_and_there_is_room_for_another_ship_in_the_target_town.
qstr_This_area_of_{s1}_ca This_area_of_{s1}_can_best_be_described_as_the_very_core_of_the_town.^^_You_can_almost_see_the_strings_that_are_being_pulled_from_here,_the_money_that_comes_and_goes_at_seemingly_endless_rates.__Here_you_can_buy_the_land_that_is_cultivated_outside_the_towns_gates_and_benefit_from_the_ones_working_hard._Of_course_you_might_not_have_the_denars_required_to_do_so,_but_the_moneylenders_are_known_to_have_some_spare_change.
qstr_{reg1}_people_live_i {reg1}_people_live_in_{s1}._There_are_currently_{reg2}_acres_of_land_available_for_cultivation_to_provide_them_with__food_and_other_goods._You_own_{reg3}_acres_of_land_in_this_town._You_currently_owe_the_moneylenders_of_{s1}_{reg4}_denars._The_interest_rate_is_20%_and_the_contract_period_amounts__to_2_weeks._If_you_dont_manage_to_pay_off_your_debt_until_the_deadline,_the_interest_is_raised_to_40%._Buying_an_existing_acre_costs_{reg9}_denars,_while_it_sells_for_{reg10}_denars._Building_a_new_one_requires_{reg11}_denars._The_rent_paid_to_landowners_currently_accumulates_to_{reg13}_denars_per_acre_every_2_weeks_and_has_to_be_collected_in_the_town._Land_wont_be_rented_if_a_town_is_already_well_supplied.
qstr_Choose_how_many_acre Choose_how_many_acres_you_wish_to_sell_:
qstr_Choose_how_many_acres Choose_how_many_acres_you_wish_to_buy_:
qstr_Verify Verify
qstr_Choose_how_much_mone Choose_how_much_money_you_wish_to_borrow_:
qstr_Buy_and_prepare_uncu Buy_and_prepare_uncultivated_land_:
qstr_Pay_off_your_debt_: Pay_off_your_debt_:
qstr_{reg5} {reg5}
qstr_You_cant_sell_0_acre You_cant_sell_0_acres_of_land.
qstr_You_cant_buy_0_acres You_cant_buy_0_acres_of_land.
qstr_{reg6} {reg6}
qstr_You_cant_borrow_0_de You_cant_borrow_0_denars.
qstr_{reg7} {reg7}
qstr_{reg8} {reg8}
qstr_You_cant_pay_back_0_ You_cant_pay_back_0_denars.
qstr_Town Town
qstr_Acres Acres
qstr_Owned Owned
qstr_Balance Balance
qstr_Assets Assets
qstr_Debt Debt
qstr_Deadline Deadline
qstr_{reg2} {reg2}
qstr_{reg3} {reg3}
qstr_{reg4} {reg4}
qstr_Merchant_Ledger Merchant_Ledger
qstr_____Assessed_Profit_ ____Assessed_Profit_by_Subtitle_Here
qstr_{s0}_products_from_{ {s0},_products_from_{s1}:
qstr_^{s1}_sold_in_{s2}_w ^{s1}_sold_in_{s2}_would_earn_{reg0}_denars.{s3}
qstr___Assessed_Profit_by __Assessed_Profit_by_Log_Entry_Date
qstr_^{s1}_sold_in_{s2}_wo ^{s1}_sold_in_{s2}_would_earn_{reg0}_denars_(as_of_{s0}).{s3}
qstr_Production_in_{s1} Production_in_{s1}
qstr_Assessed_Profit_by_T Assessed_Profit_by_Town_of_Production
qstr_^{s1}_purchased_in_{ ^{s1}_purchased_in_{s2}_would_earn_{reg0}_denars_(as_of_{s0}).{s3}
qstr_Demand_in_{s1} Demand_in_{s1}
qstr_Assessed_Profit_by_To Assessed_Profit_by_Town_of_Demand
qstr_^Buy_in:_{s1}___sell ^Buy_in:_{s1}_-_sell_in:_{s2}_for_{reg0}_denars_profit_(as_of_{s0}).{s3}
qstr_Supply_and_Demand_of Supply_and_Demand_of_{s1}
qstr_____Assessed_Profit_b ____Assessed_Profit_by_Trade_Good
qstr_Trim_ledger_entries_ Trim_ledger_entries_older_than:______________days:
qstr_Remove_entries. Remove_entries.
qstr_Trim_ledger_entries_c Trim_ledger_entries_covering_the_following_trade_good:
qstr_Use_slider_to_choose Use_slider_to_choose_item
qstr_Trim_ledger_entries_f Trim_ledger_entries_for_goods_tied_to_this_town:
qstr_Use_slider_to_choose_ Use_slider_to_choose_town
qstr_Remove_entries__Prod Remove_entries_(Production).
qstr_Remove_entries__Dema Remove_entries_(Demand).
qstr_Trim_ledger_entries_w Trim_ledger_entries_with_less_than:______________denar_profit:
qstr_Ask_about_the_potent Ask_about_the_potential_profit_of_the_following_items^____every_time_you_assess_prices_in_a_marketplace:
qstr____________Log_Entry ___________Log_Entry_Options
qstr_Add_Note Add_Note
qstr_Clear_Notes Clear_Notes
qstr_Use_a_/\__caret__for Use_a_/\_(caret)_for_a_line_break.
qstr_Chronological_Log Chronological_Log
qstr_Production_Towns Production_Towns
qstr_Purchasing_Towns Purchasing_Towns
qstr_Trade_Goods Trade_Goods
qstr_Manage_Ledger Manage_Ledger
qstr_{s1}^+{s0} {s1}^+{s0}
qstr_{reg0}_entries_remov {reg0}_entries_removed_from_ledger.
qstr_Personal_Reports Personal_Reports
qstr_Party_Reports Party_Reports
qstr_Kingdom_Reports Kingdom_Reports
qstr_Reference_Material Reference_Material
qstr_Character_Reports Character_Reports
qstr_Courtship_Relations Courtship_Relations
qstr_Weekly_Budget Weekly_Budget
qstr_Financial_Report Financial_Report
qstr_Force_Size_Report Force_Size_Report
qstr_Morale_Report Morale_Report
qstr_Companion_Overview Companion_Overview
qstr_Character&Companions Character&Companions
qstr_Companion_Missions Companion_Missions
qstr_Sovereign_Relations Sovereign_Relations
qstr_Lord_Holdings Lord_Holdings
qstr_Known_Lords Known_Lords
qstr_Upgrade_Trees Upgrade_Trees
qstr_All_Items All_Items
qstr_Other_Information Other_Information
qstr_Debug&Cheats Debug&Cheats
qstr_{s11} {s11}
qstr__Return_to_world_ _Return_to_world_
qstr_No_companions_in_par No_companions_in_party!
qstr_Plan_Deployment Plan_Deployment
qstr_You_will_have_{reg1} You_will_have_{reg1}_troops_available_at_the_battle's_start
qstr_Troop Troop
qstr_#_at_start__/_#_in_p #_at_start__/_#_in_party
qstr_/_{reg0} /_{reg0}
qstr_{reg0} {reg0}
qstr_of_{reg0}_troops of_{reg0}_troops
qstr_Ready_Troops Ready_Troops
qstr_Reassess Reassess
qstr_Scrap_All Scrap_All
qstr_Too_many_troops^Chec Too_many_troops^Check_number_available
qstr_Initial Initial
qstr_Movement_1 Movement_1
qstr_Movement_2 Movement_2
qstr_Formation Formation
qstr_Attack Attack
qstr_Weapon_Type Weapon_Type
qstr_Shield Shield
qstr_Skirmish Skirmish
qstr_Hold_Position Hold_Position
qstr_Back_10 Back_10
qstr_Forward_10 Forward_10
qstr_Repeat_x Repeat_x
qstr_Square Square
qstr_Wedge Wedge
qstr_Shieldwall Shieldwall
qstr_Ranks Ranks
qstr_Ranged Ranged
qstr_Two_Handed Two_Handed
qstr_One_Handed One_Handed
qstr_No_Shields No_Shields
qstr_Use_Shields Use_Shields
qstr_Avoid_Melee Avoid_Melee
qstr_Turn_to_weapon_order Turn_to_weapon_orders...
qstr_Prepare_Orders Prepare_Orders
qstr_Dispatch_Orders Dispatch_Orders
qstr_...Turn_to_positioni ...Turn_to_positioning_orders
qstr_Record_Battle_Size_a Record_Battle_Size_as_set_in_Options
qstr_Keys_Configuration Keys_Configuration
qstr_Press_Esc_to^^Disabl Press_Esc_to^^Disable_a_key
qstr_DeathCam_Mouse_Sensi DeathCam_Mouse_Sensitivity
qstr_OK OK
qstr_Reset Reset
qstr_Press_a_key Press_a_key
qstr_{s10}___Formation_ty {s10}_-_Formation_type_orders
qstr_{s11}___Weapon_order {s11}_-_Weapon_orders
qstr_{s12}___Shield_order {s12}_-_Shield_orders
qstr_{s13}___Attack_order {s13}_-_Attack_orders
qstr_{s10}___Ranks {s10}_-_Ranks
qstr_{s11}___Shieldwall {s11}_-_Shieldwall
qstr_{s12}___Wedge {s12}_-_Wedge
qstr_{s13}___Square {s13}_-_Square
qstr_{s14}___No_Formation {s14}_-_No_Formation
qstr_{s15}___Escape_Menu {s15}_-_Escape_Menu
qstr_{s11}___One_Handers {s11}_-_One_Handers
qstr_{s12}___Two_Handers {s12}_-_Two_Handers
qstr_{s13}___Polearms {s13}_-_Polearms
qstr_{s14}___Ranged {s14}_-_Ranged
qstr_{s11}___Use_Shields {s11}_-_Use_Shields
qstr_{s12}___No_Shields {s12}_-_No_Shields
qstr_{s13}___Free {s13}_-_Free
qstr_{s10}___End_Order {s10}_-_End_Order
qstr_{s11}___Skirmish {s11}_-_Skirmish
qstr_{s12}___Volley_Fire {s12}_-_Volley_Fire
qstr_{s13}___Brace_Polear {s13}_-_Brace_Polearms
qstr_DeathCam DeathCam
qstr_Camera Camera
qstr_Follow Follow
qstr_Free Free
qstr_{!}{s0}_Mode:_{s1} {!}{s0}_Mode:_{s1}
qstr_Troop_Assignments Troop_Assignments
qstr_Split_Troops_into_Se Split_Troops_into_Secondary_Divisions
qstr_Troops_by^_Primary_D Troops_by^_Primary_Division
qstr_#_in^Main_Division #_in^Main_Division
qstr_Show/^Hide Show/^Hide
qstr_#_in^Secondary_Divis #_in^Secondary_Division
qstr_Secondary^Division Secondary^Division
qstr_{!}%_to_split {!}%_to_split
qstr_{!}__Disabled__ {!}-_Disabled_-
qstr_Disabled Disabled
qstr_Split_Active Split_Active
qstr_Clear_All Clear_All
qstr_Discard_Changes Discard_Changes
qstr_Save Save
qstr_DEBUG__TPE_:_Added__ DEBUG_(TPE):_Added_'{s1}'_to_character_chooser_menu.__Slot_#{reg31}
qstr_TOURNAMENT_SETTINGS TOURNAMENT_SETTINGS
qstr_You_have_nothing. You_have_nothing.
qstr_Your_weapon_selectio Your_weapon_selection_is_adequate.
qstr_Display_Settings Display_Settings
qstr_Combat_Settings Combat_Settings
qstr_ERROR! ERROR!
qstr_Global_Options Global_Options
qstr_Renown_Scaling Renown_Scaling
qstr_Enable_level_scaling Enable_level_scaling
qstr_Display_Options Display_Options
qstr_Show_combat_display Show_combat_display
qstr_Show_health_bars Show_health_bars
qstr_Show_team_points_awa Show_team_points_awarded
qstr_Show_teammate_s_dama Show_teammate's_damage
qstr_Show_when_awards_are Show_when_awards_are_granted
