trp_multiplayer_profile_troop_male|Profil multijoueur homme
trp_vaegir_r_yesaul_pl|C4 Yesauly Vaegirs
trp_vaegir_r_plastun|I4 Plastun Vaegir
trp_vaegir_r_plastun_pl|I4 Plastuny Vaegirs
trp_vaegir_r_ratnik|H4 Ratnik Vaegir
trp_vaegir_r_ratnik_pl|H4 Ratniki Vaegirs
trp_vaegir_r_zalstrelshik|A4 Zalstrelshik Vaegir
trp_vaegir_r_zalstrelshik_pl|A4 Zalstrelshiki Vaegirs
trp_vaegir_r_mladshiy_druzhinnik|I4 Mladshiy Druzhinnik Vaegir
trp_vaegir_r_mladshiy_druzhinnik_pl|I4 Mladshiy Druzhinniki Vaegirs
trp_vaegir_r_ataman|C5 Ataman Vaegir
trp_vaegir_r_ataman_pl|C5 Atamany Vaegirs
trp_vaegir_r_luchnik|A5 Luchnik Vaegir
trp_vaegir_r_luchnik_pl|A5 Luchniki Vaegirs
trp_vaegir_r_druzhinnik_veteran|I5 Druzhinnik Vétéran Vaegir
trp_vaegir_r_druzhinnik_veteran_pl|I5 Druzhinniki Vétérans Vaegirs
trp_vaegir_r_metkiy_luchnik|A6 Metkiy Luchnik Vaegir
trp_vaegir_r_metkiy_luchnik_pl|A6 Metkiy Luchniki Vaegirs
trp_vaegir_r_extra1|I1 Kholop rebelle Vaegir
trp_vaegir_r_extra1_pl|I1 Kholopy Vaegirs
trp_vaegir_r_extra2|I1 Kholop aventureux Vaegir
trp_vaegir_r_extra2_pl|I1 Kholopy Vaegirs
trp_vaegir_r_extra3|I1 Kholop forcé Vaegir
trp_vaegir_r_extra3_pl|I1 Kholopy Vaegirs
trp_vaegir_r_extra4|I1 Kholop voyageur Vaegir
trp_vaegir_r_extra4_pl|I1 Kholopy Vaegirs
trp_vaegir_r_extra5|I1 Kholop docile Vaegir
trp_vaegir_r_extra5_pl|I1 Kholopy Vaegirs
trp_vaegir_e_extra1|I1 Kholop rebelle Vaegir
trp_vaegir_e_extra1_pl|I1 Kholopy Vaegirs
trp_vaegir_e_extra2|I1 Kholop aventureux Vaegir
trp_vaegir_e_extra2_pl|I1 Kholopy Vaegirs
trp_vaegir_e_extra3|I1 Kholop forcé Vaegir
trp_vaegir_e_extra3_pl|I1 Kholopy Vaegirs
trp_vaegir_e_extra4|I1 Kholop voyageur Vaegir
trp_vaegir_e_extra4_pl|I1 Kholopy Vaegirs
trp_vaegir_e_extra5|I1 Kholop docile Vaegir
trp_vaegir_e_extra5_pl|I1 Kholopy Vaegirs
trp_vaegir_messenger|Messager Vaegir
trp_vaegir_messenger_pl|Messagers Vaegirs
trp_vaegir_deserter|Déserteur Vaegir
trp_vaegir_deserter_pl|Déserteurs Vaegirs
trp_vaegir_prison_guard|Geôlier
trp_vaegir_prison_guard_pl|Geôliers
trp_vaegir_castle_guard|Garde
trp_vaegir_castle_guard_pl|Gardes
trp_khergit_n_tariachin|Homme de clan Khergit
trp_khergit_n_tariachin_pl|Hommes de clan Khergits
trp_khergit_n_qarbughaci|Accrocheur Khergit
trp_khergit_n_qarbughaci_pl|Accrocheurs Khergits
trp_khergit_n_morici|Cavalier Khergit
trp_khergit_n_morici_pl|Cavaliers Khergits
trp_khergit_n_kipchak|Lancier monté Khergit
trp_khergit_n_kipchak_pl|Lanciers montés Khergits
trp_khergit_n_qubuci|Archer monté Khergit
trp_khergit_n_qubuci_pl|Archers montés Khergits
trp_khergit_n_borjigin|Archer monté vétéran Khergit
trp_khergit_n_borjigin_pl|Archers montés vétérans Khergits
trp_khergit_n_extra1|Homme de clan rebelle Khergit
trp_khergit_n_extra1_pl|Hommes de clan rebelles Khergits
trp_khergit_n_extra2|Homme de clan aventureux Khergit
trp_khergit_n_extra2_pl|Hommes de clan aventureux Khergits
trp_khergit_n_extra3|Homme de clan forcé Khergit
trp_khergit_n_extra3_pl|Hommes de clan forcés Khergits
trp_khergit_n_extra4|Homme de clan voyageur Khergit
trp_khergit_n_extra4_pl|Hommes de clan voyageurs Khergits
trp_khergit_n_extra5|Homme de clan docile Khergit
trp_khergit_n_extra5_pl|Hommes de clan dociles Khergits
trp_khergit_r_tariachin|I1 Tariachin Khergit
trp_khergit_r_tariachin_pl|I1 Tariachinuud Khergits
trp_khergit_r_tsereg|I2 Tsereg Khergit
trp_khergit_r_tsereg_pl|I2 Tseregnuud Khergits
trp_khergit_r_qarbughaci|A2 Qarbughaci Khergit
trp_khergit_r_qarbughaci_pl|A2 Qarbughacinuud Khergits
trp_khergit_r_asud|I3 Asud Khergit
trp_khergit_r_asud_pl|I3 Asudnuud Khergits
trp_khergit_r_morici|C3 Morici Khergit
trp_khergit_r_morici_pl|C3 Moricinuud Khergits
trp_khergit_r_abaci|H3 Abaci Khergit
trp_khergit_r_abaci_pl|H3 Abacinuud Khergits
trp_khergit_r_aqala_asud|I4 Aqala Asud Khergit
trp_khergit_r_aqala_asud_pl|I4 Aqala Asudnuud Khergits
trp_khergit_r_quaqli|C4 Quaqli Khergit
trp_khergit_r_quaqli_pl|C4 Quaqlinuud Khergits
trp_khergit_r_kipchak|C4 Kipchak Khergit
trp_khergit_r_kipchak_pl|C4 Kipchakuud Khergits
trp_khergit_r_teriguci|H4 Teriguci Khergit
trp_khergit_r_teriguci_pl|H4 Terigucinuud Khergits
trp_khergit_r_qubuci|H4 Qubuci Khergit
trp_khergit_r_qubuci_pl|H4 Qubucinuud Khergits
trp_khergit_r_khevtuul|C5 Khevtuul Khergit
trp_khergit_r_khevtuul_pl|C5 Khevtuulcuud Khergits
trp_khergit_r_aqala_teriguci|H5 Aqala Teriguci Khergit
trp_khergit_r_aqala_teriguci_pl|H5 Aqala Terigucinuud Khergits
trp_khergit_r_borjigin|H5 Borjigin Khergit
trp_khergit_r_borjigin_pl|H5 Borjiginuud Khergits
trp_khergit_r_keshig|H6 Keshig Khergit
trp_khergit_r_keshig_pl|H6 Keshignuud Khergits
trp_khergit_r_extra1|I1 Tariachin rebelle Khergit
trp_khergit_r_extra1_pl|I1 Tariachinuud rebelles Khergits
trp_khergit_r_extra2|I1 Tariachin aventureux Khergit
trp_khergit_r_extra2_pl|I1 Tariachinuud aventureux Khergits
trp_khergit_r_extra3|I1 Tariachin forcé Khergit
trp_khergit_r_extra3_pl|I1 Tariachinuud forcés Khergits
trp_khergit_r_extra4|I1 Tariachin voyageur Khergit
trp_khergit_r_extra4_pl|I1 Tariachinuud voyageurs Khergits
trp_khergit_r_extra5|I1 Tariachin docile Khergit
trp_khergit_r_extra5_pl|I1 Tariachinuud dociles Khergits
trp_khergit_e_extra1|I1 Tariachin rebelle Khergit
trp_khergit_e_extra1_pl|I1 Tariachinuud rebelles Khergits
trp_khergit_e_extra2|I1 Tariachin aventureux Khergit
trp_khergit_e_extra2_pl|I1 Tariachinuud aventureux Khergits
trp_khergit_e_extra3|I1 Tariachin forcé Khergit
trp_khergit_e_extra3_pl|I1 Tariachinuud forcés Khergits
trp_khergit_e_extra4|I1 Tariachin voyageur Khergit
trp_khergit_e_extra4_pl|I1 Tariachinuud voyageurs Khergits
trp_khergit_e_extra5|I1 Tariachin docile Khergit
trp_khergit_e_extra5_pl|I1 Tariachinuud dociles Khergits
trp_khergit_messenger|Messager Khergit
trp_khergit_messenger_pl|Messagers Khergits
trp_khergit_deserter|Déserteur Khergit
trp_khergit_deserter_pl|Déserteurs Khergits
trp_khergit_prison_guard|Geôlier
trp_khergit_prison_guard_pl|Geôliers
trp_khergit_castle_guard|Garde
trp_khergit_castle_guard_pl|Gardes
trp_nord_n_bondi|Recrue Nordique
trp_nord_n_bondi_pl|Recrues Nordiques
trp_nord_n_huskarl|Fantassin Nordique
trp_nord_n_huskarl_pl|Fantassins Nordiques
trp_nord_n_gesith|Chasseur Nordique
trp_nord_n_gesith_pl|Chasseurs Nordiques
trp_nord_n_gridman|Infanterie Nordique
trp_nord_n_gridman_pl|Infanterie Nordique
trp_nord_n_bogmadur|Archer Nordique
trp_nord_n_bogmadur_pl|Archers Nordiques
trp_nord_n_vigamadr|Guerrier Nordique
trp_nord_n_vigamadr_pl|Guerriers Nordiques
trp_nord_n_bogsveigir|Archer vétéran Nordique
trp_nord_n_bogsveigir_pl|Archers vétérans Nordiques
trp_nord_n_skjadsveinn|Vétéran Nordique
trp_nord_n_skjadsveinn_pl|Vétérans Nordiques
trp_nord_n_husbondi|Huscarl Nordique
trp_nord_n_husbondi_pl|Huscarls Nordiques
trp_nord_n_extra1|Recrue rebelle Nordique
trp_nord_n_extra1_pl|Recrues rebelles Nordiques
trp_nord_n_extra2|Recrue aventureuse Nordique
trp_nord_n_extra2_pl|Recrues aventureuses Nordiques
trp_nord_n_extra3|Recrue forcée Nordique
trp_nord_n_extra3_pl|Recrues forcées Nordiques
trp_nord_n_extra4|Recrue voyageur Nordique
trp_nord_n_extra4_pl|Recrues voyageurs Nordiques
trp_nord_n_extra5|Recrue docile Nordique
trp_nord_n_extra5_pl|Recrues dociles Nordiques
trp_nord_r_bondi|I1 Bondi Nordique
trp_nord_r_bondi_pl|I1 Bondir Nordiques
trp_nord_r_berserkr|I2 Berserkr Nordique
trp_nord_r_berserkr_pl|I2 Berserkir Nordiques
trp_nord_r_huskarl|I2 Huskarl Nordique
trp_nord_r_huskarl_pl|I2 Huskarlar Nordiques
trp_nord_r_kertilsveinr|I3 Kertilsveinr Nordique
trp_nord_r_kertilsveinr_pl|I3 Kertilsveinar Nordiques
trp_nord_r_gesith|A3 Gesith Nordique
trp_nord_r_gesith_pl|A3 Gesiths Nordiques
trp_nord_r_gridman|I3 Gridman Nordique
trp_nord_r_gridman_pl|I3 Gridmen Nordiques
trp_nord_r_vikingr|I4 Vikingr Nordique
trp_nord_r_vikingr_pl|I4 Vikingar Nordiques
trp_nord_r_bogsveigir|A4 Bogsveigir Nordique
trp_nord_r_bogsveigir_pl|A4 Bogsveigar Nordiques
trp_nord_r_hermadur|A4 Hermadur Nordique
trp_nord_r_hermadur_pl|A4 Hermadurar Nordiques
trp_nord_r_innaesmaen|I4 Innaesmaen Nordique
trp_nord_r_innaesmaen_pl|I4 Innaesmaener Nordiques
trp_nord_r_vigamadr|I4 Vigamadr Nordique
trp_nord_r_vigamadr_pl|I4 Vigamadar Nordiques
trp_nord_r_heahgerefa|A5 Heahgerefa Nordique
trp_nord_r_heahgerefa_pl|A5 Heahgerefar Nordiques
trp_nord_r_kappi|I5 Kappi Nordique
trp_nord_r_kappi_pl|I5 Kappir Nordiques
trp_nord_r_skjadsveinn|I5 Skjadsveinn Nordique
trp_nord_r_skjadsveinn_pl|I5 Skjadsveinnar Nordiques
trp_nord_r_husbondi|I6 Husbondi Nordique
trp_nord_r_husbondi_pl|I6 Husbondir Nordiques
trp_nord_r_extra1|I1 Bondi rebelle Nordique
trp_nord_r_extra1_pl|I1 Bondir rebelles Nordiques
trp_nord_r_extra2|I1 Bondi aventureux Nordique
trp_nord_r_extra2_pl|I1 Bondir aventureux Nordiques
trp_nord_r_extra3|I1 Bondi forcé Nordique
trp_nord_r_extra3_pl|I1 Bondir forcés Nordiques
trp_nord_r_extra4|I1 Bondi voyageur Nordique
trp_nord_r_extra4_pl|I1 Bondir voyageurs Nordiques
trp_nord_r_extra5|I1 Bondi docile Nordique
trp_nord_r_extra5_pl|I1 Bondir dociles Nordiques
trp_nord_e_extra1|I1 Bondi rebelle Nordique
trp_nord_e_extra1_pl|I1 Bondir rebelles Nordiques
trp_nord_e_extra2|I1 Bondi aventureux Nordique
trp_nord_e_extra2_pl|I1 Bondir aventureux Nordiques
trp_nord_e_extra3|I1 Bondi forcé Nordique
trp_nord_e_extra3_pl|I1 Bondir forcés Nordiques
trp_nord_e_extra4|I1 Bondi voyageur Nordique
trp_nord_e_extra4_pl|I1 Bondir voyageurs Nordiques
trp_nord_e_extra5|I1 Bondi docile Nordique
trp_nord_e_extra5_pl|I1 Bondir dociles Nordiques
trp_nord_messenger|Messager Nordique
trp_nord_messenger_pl|Messagers Nordiques
trp_nord_deserter|Déserteur Nordique
trp_nord_deserter_pl|Déserteurs Nordiques
trp_nord_prison_guard|Geôlier
trp_nord_prison_guard_pl|Geôliers
trp_nord_castle_guard|Garde
trp_nord_castle_guard_pl|Gardes
trp_rhodok_n_cittadino|Homme de clan Rhodok
trp_rhodok_n_cittadino_pl|Hommes de clan Rhodoks
trp_rhodok_n_novizio|Lancier Rhodok
trp_rhodok_n_novizio_pl|Lanciers Rhodoks
trp_rhodok_n_recluta_balestriere|Arbalétrier Rhodok
trp_rhodok_n_recluta_balestriere_pl|Arbalétriers Rhodoks
trp_rhodok_n_milizia|Lancier qualifié Rhodok
trp_rhodok_n_milizia_pl|Lanciers qualifiés Rhodoks
trp_rhodok_n_milizia_balestriere|Arbalétrier qualifié Rhodok
trp_rhodok_n_milizia_balestriere_pl|Arbalétriers qualifiés Rhodoks
trp_rhodok_n_fante|Lancier vétéran Rhodok
trp_rhodok_n_fante_pl|Lanciers vétérans Rhodoks
trp_rhodok_n_balestriere|Arbalétrier vétéran Rhodok
trp_rhodok_n_balestriere_pl|Arbalétriers vétérans Rhodoks
trp_rhodok_n_veterano|Sergent Rhodok
trp_rhodok_n_veterano_pl|Sergents Rhodoks
trp_rhodok_n_balestriere_veterano|Arbalétrier d'élite Rhodok
trp_rhodok_n_balestriere_veterano_pl|Arbalétriers d'élite Rhodoks
trp_rhodok_n_extra1|Homme de clan rebelle Rhodok
