itm_no_item|OBJET INVALIDE
itm_arena_shield_yellow_pl|Boucliers
itm_arena_armor_white|Armure de gladiateur blanche
itm_arena_armor_white_pl|Armures de gladiateur blanches
itm_arena_armor_red|Armure de gladiateur rouge
itm_arena_armor_red_pl|Armures de gladiateur rouges
itm_arena_armor_blue|Armure de gladiateur bleue
itm_arena_armor_blue_pl|Armures de gladiateur bleues
itm_arena_armor_green|Armure de gladiateur verte
itm_arena_armor_green_pl|Armures de gladiateur vertes
itm_arena_armor_yellow|Armure de gladiateur jaune
itm_arena_armor_yellow_pl|Armures de gladiateur jaunes
itm_arena_tunic_white|Tunique de gladiateur blanche
itm_arena_tunic_white_pl|Tuniques de gladiateur blanches
itm_arena_tunic_red|Tunique de gladiateur rouge
itm_arena_tunic_red_pl|Tuniques de gladiateur rouges
itm_arena_tunic_blue|Tunique de gladiateur bleue
itm_arena_tunic_blue_pl|Tuniques de gladiateur bleues
itm_arena_tunic_green|Tunique de gladiateur verte
itm_arena_tunic_green_pl|Tuniques de gladiateur vertes
itm_arena_tunic_yellow|Tunique de gladiateur jaune
itm_arena_tunic_yellow_pl|Tuniques de gladiateur jaunes
itm_arena_helmet_red|Heaume de gladiateur rouge
itm_arena_helmet_red_pl|Heaumes de gladiateur rouges
itm_arena_helmet_blue|Heaume de gladiateur bleu
itm_arena_helmet_blue_pl|Heaumes de gladiateur bleus
itm_arena_helmet_green|Heaume de gladiateur vert
itm_arena_helmet_green_pl|Heaumes de gladiateur verts
itm_arena_helmet_yellow|Heaume de gladiateur jaune
itm_arena_helmet_yellow_pl|Heaumes de gladiateur jaunes
itm_steppe_helmet_white|Heaume des steppes blanc
itm_steppe_helmet_white_pl|Heaumes des steppes blancs
itm_steppe_helmet_red|Heaume des steppes rouge
itm_steppe_helmet_red_pl|Heaumes des steppes rouges
itm_steppe_helmet_blue|Heaume des steppes bleu
itm_steppe_helmet_blue_pl|Heaumes des steppes bleus
itm_steppe_helmet_green|Heaume des steppes vert
itm_steppe_helmet_green_pl|Heaumes des steppes verts
itm_steppe_helmet_yellow|Heaume des steppes jaune
itm_steppe_helmet_yellow_pl|Heaumes des steppes jaunes
itm_tourney_helm_white|Casque de tournoi blanc
itm_tourney_helm_white_pl|Casques de tournoi blancs
itm_tourney_helm_red|Casque de tournoi rouge
itm_tourney_helm_red_pl|Casques de tournoi rouges
itm_tourney_helm_blue|Casque de tournoi bleu
itm_tourney_helm_blue_pl|Casques de tournoi bleus
itm_tourney_helm_green|Casque de tournoi vert
itm_tourney_helm_green_pl|Casques de tournoi verts
itm_tourney_helm_yellow|Casque de tournoi jaune
itm_tourney_helm_yellow_pl|Casques de tournoi jaunes
itm_arena_turban_red|Turban d'arène
itm_arena_turban_red_pl|Turban d'arène
itm_arena_turban_blue|Turban d'arène
itm_arena_turban_blue_pl|Turban d'arène
itm_arena_turban_green|Turban d'arène
itm_arena_turban_green_pl|Turban d'arène
itm_arena_turban_yellow|Turban d'arène
itm_arena_turban_yellow_pl|Turban d'arène
itm_book_tactics|De Re Militari (Traduit par BerTolkien)
itm_book_tactics_pl|De Re Militari
itm_book_persuasion|Rhetorica ad herennium
itm_book_persuasion_pl|Rhetorica ad herennium
itm_book_leadership|La Vie d'Alixenus le Grand
itm_book_leadership_pl|La Vie d'Alixenus le Grand
itm_book_intelligence|Essais sur la Logique
itm_book_intelligence_pl|Essais sur la Logique
itm_book_trade|Un Traité sur la Valeur des Choses
itm_book_trade_pl|Un Traité sur la Valeur des Choses
itm_book_weapon_mastery|De l'Art de Combattre à l'Épée
itm_book_weapon_mastery_pl|De l'Art de Combattre à l'Épée
itm_book_engineering|Méthode des Théorèmes Mécaniques
itm_book_engineering_pl|Méthode des Théorèmes Mécaniques
itm_book_wound_treatment_reference|Traité de Médecine
itm_book_wound_treatment_reference_pl|Traité de Médecine
itm_book_training_reference|Manuel d'Armes
itm_book_training_reference_pl|Manuel d'Armes
itm_book_surgery_reference|Le Grand Livre de la Chirurgie
itm_book_surgery_reference_pl|Le Grand Livre de la Chirurgie
itm_book_trade_ledger|Livre de marchand
itm_book_trade_ledger_pl|Livres de marchand
itm_trade_spice|Épices
itm_trade_spice_pl|Épices
itm_trade_salt|Sel
itm_trade_salt_pl|Sel
itm_trade_oil|Huile
itm_trade_oil_pl|Huile
itm_trade_pottery|Poterie
itm_trade_pottery_pl|Poteries
itm_trade_raw_flax|Botte de lin
itm_trade_raw_flax_pl|Bottes de lin
itm_trade_linen|Étoffe de lin
itm_trade_linen_pl|Étoffes de lin
itm_trade_wool|Laine
itm_trade_wool_pl|Laine
itm_trade_wool_cloth|Lainage
itm_trade_wool_cloth_pl|Lainage
itm_trade_raw_silk|Soie
itm_trade_raw_silk_pl|Soies
itm_trade_raw_dyes|Teintures
itm_trade_raw_dyes_pl|Teintures
itm_trade_velvet|Velours
itm_trade_velvet_pl|Velours
itm_trade_iron|Lingot de fer
itm_trade_iron_pl|Lingots de fer
itm_trade_tools|Outils
itm_trade_tools_pl|Outils
itm_trade_raw_leather|Peau
itm_trade_raw_leather_pl|Peaux
itm_trade_leatherwork|Cuir
itm_trade_leatherwork_pl|Cuirs
itm_trade_raw_date_fruit|Dattes
itm_trade_raw_date_fruit_pl|Dattes
itm_trade_furs|Fourrures
itm_trade_furs_pl|Fourrures
itm_trade_wine|Vin
itm_trade_wine_pl|Vins
itm_trade_ale|Bière
itm_trade_ale_pl|Bières
itm_trade_smoked_fish|Poisson fumé
itm_trade_smoked_fish_pl|Poissons fumés
itm_trade_cheese|Fromage
itm_trade_cheese_pl|Fromages
itm_trade_honey|Miel
itm_trade_honey_pl|Miel
itm_trade_sausages|Saucisses
itm_trade_sausages_pl|Saucisses
itm_trade_cabbages|Chou
itm_trade_cabbages_pl|Choux
itm_trade_dried_meat|Viande séchée
itm_trade_dried_meat_pl|Viandes séchées
itm_trade_apples|Fruits
itm_trade_apples_pl|Fruits
itm_trade_raw_grapes|Raisins
itm_trade_raw_grapes_pl|Raisins
itm_trade_raw_olives|Olives
itm_trade_raw_olives_pl|Olives
itm_trade_grain|Blé
itm_trade_grain_pl|Blé
itm_trade_cattle_meat|Bœuf
itm_trade_cattle_meat_pl|Bœuf
itm_trade_bread|Pain
itm_trade_bread_pl|Pains
itm_trade_chicken|Poulet
itm_trade_chicken_pl|Poulets
itm_trade_pork|Porc
itm_trade_pork_pl|Porcs
itm_trade_butter|Beurre
itm_trade_butter_pl|Beurre
itm_siege_supply|Provisions
itm_siege_supply_pl|Provisions
itm_quest_wine|Vin
itm_quest_wine_pl|Vins
itm_quest_ale|Bière
itm_quest_ale_pl|Bières
itm_tutorial_sword|Épée
itm_tutorial_sword_pl|Épées
itm_tutorial_axe|Hache
itm_tutorial_axe_pl|Haches
itm_tutorial_spear|Lance
itm_tutorial_spear_pl|Lances
itm_tutorial_club|Gourdin
itm_tutorial_club_pl|Gourdins
itm_tutorial_battle_axe|Hache de combat
itm_tutorial_battle_axe_pl|Haches de combat
itm_tutorial_arrows|Flèches
itm_tutorial_arrows_pl|Flèches
itm_tutorial_bolts|Carreaux
itm_tutorial_bolts_pl|Carreaux
itm_tutorial_short_bow|Arc court
itm_tutorial_short_bow_pl|Arcs courts
itm_tutorial_crossbow|Arbalète
itm_tutorial_crossbow_pl|Arbalètes
itm_tutorial_throwing_daggers|Dagues de jet
itm_tutorial_throwing_daggers_pl|Dagues de jet
itm_tutorial_saddle_horse|Cheval de selle
itm_tutorial_saddle_horse_pl|Chevaux de selle
itm_tutorial_shield|Grand écu
itm_tutorial_shield_pl|Grands écus
itm_tutorial_staff_no_attack|Bâton
itm_tutorial_staff_no_attack_pl|Bâtons
itm_tutorial_staff|Bâton
itm_tutorial_staff_pl|Bâtons
itm_sumpter_horse|Roncin
itm_sumpter_horse_pl|Roncins
itm_saddle_horse|Cheval de selle
itm_saddle_horse_pl|Chevaux de selle
itm_steppe_horse|Cheval des steppes
itm_steppe_horse_pl|Chevaux des steppes
itm_arabian_horse_a|Cheval arabe
itm_arabian_horse_a_pl|Chevaux arabes
itm_courser|Coursier
itm_courser_pl|Coursiers
itm_arabian_horse_b|Pur-sang arabe
itm_arabian_horse_b_pl|Pur-sangs arabes
itm_hunter|Destrier
itm_hunter_pl|Destriers
itm_warhorse|Destrier carapaçonné
itm_warhorse_pl|Destriers carapaçonnés
itm_charger|Destrier bardé
itm_charger_pl|Destriers bardés
itm_arrows|Flèches
itm_arrows_pl|Flèches
itm_khergit_arrows|Flèches zeng
itm_khergit_arrows_pl|Flèches zeng
itm_barbed_arrows|Flèches dentelées
itm_barbed_arrows_pl|Flèches dentelées
itm_bodkin_arrows|Flèches à pointe bodkin
itm_bodkin_arrows_pl|Flèches à pointe bodkin
itm_bolts|Carreaux
itm_bolts_pl|Carreaux
itm_steel_bolts|Carreaux vireton
itm_steel_bolts_pl|Carreaux vireton
itm_cartridges|Cartouches
itm_cartridges_pl|Cartouches
itm_pilgrim_disguise|Esclavine
itm_pilgrim_disguise_pl|Esclavines
itm_pilgrim_hood|Chappe de pèlerin
itm_pilgrim_hood_pl|Chappes de pèlerin
itm_leather_gloves|Gants en cuir
itm_leather_gloves_pl|Gants en cuir
itm_mail_mittens|Moufles de mailles
itm_mail_mittens_pl|Moufles de mailles
itm_scale_gauntlets|Moufles d'écailles
itm_scale_gauntlets_pl|Moufles d'écailles
itm_lamellar_gauntlets|Gantelets lamellaire
itm_lamellar_gauntlets_pl|Gantelets lamellaires
itm_gauntlets|Gantelets
itm_gauntlets_pl|Gantelets
itm_wrapping_boots|Bandes molletières
itm_wrapping_boots_pl|Bandes molletières
itm_woolen_hose|Bas de laine
itm_woolen_hose_pl|Bas de laine
itm_blue_hose|Bas bleus
itm_blue_hose_pl|Bas bleus
itm_hunter_boots|Guêtres de chasse
itm_hunter_boots_pl|Guêtres de chasse
itm_hide_boots|Bottes de peaux
itm_hide_boots_pl|Bottes de peaux
itm_ankle_boots|Suières
itm_ankle_boots_pl|Suières
itm_nomad_boots|Bottes lacées
itm_nomad_boots_pl|Bottes lacées
itm_leather_boots|Bottes de cuir
itm_leather_boots_pl|Bottes de cuir
itm_splinted_leather_greaves|Grèves lamellaires en cuir
itm_splinted_leather_greaves_pl|Grèves lamellaires en cuir
itm_mail_chausses|Chausses de mailles
itm_mail_chausses_pl|Chausses de mailles
itm_splinted_greaves|Grèves lamellaires
itm_splinted_greaves_pl|Grèves lamellaires
itm_mail_boots|Bottes de mailles
itm_mail_boots_pl|Bottes de mailles
itm_iron_greaves|Grèves en fer
itm_iron_greaves_pl|Grèves en fer
itm_black_greaves|Grèves noires
itm_black_greaves_pl|Grèves noires
itm_khergit_leather_boots|Bottes gutal
itm_khergit_leather_boots_pl|Bottes gutal
itm_sarranid_boots_a|Babouches
itm_sarranid_boots_a_pl|Babouches
itm_sarranid_boots_b|Bottes muza
itm_sarranid_boots_b_pl|Bottes muza
itm_sarranid_boots_c|Bottes muza à plates
itm_sarranid_boots_c_pl|Bottes muza à plates
itm_sarranid_boots_d|Bottes jubbah
itm_sarranid_boots_d_pl|Bottes jubbah
itm_sarranid_head_cloth|Turban de femme
itm_sarranid_head_cloth_pl|Turbans de femmes
itm_sarranid_head_cloth_b|Turban de femme
itm_sarranid_head_cloth_b_pl|Turbans de femmes
itm_sarranid_felt_head_cloth|Turban
itm_sarranid_felt_head_cloth_pl|Turbans
itm_sarranid_felt_head_cloth_b|Turban
itm_sarranid_felt_head_cloth_b_pl|Turbans
itm_lady_dress_ruby|Robe de dame
itm_lady_dress_ruby_pl|Robes de dame
itm_lady_dress_green|Robe de dame
itm_lady_dress_green_pl|Robes de dame
itm_lady_dress_blue|Robe de dame
itm_lady_dress_blue_pl|Robes de dame
itm_red_dress|Robe rouge
itm_red_dress_pl|Robes rouges
itm_brown_dress|Robe marron
itm_brown_dress_pl|Robes marron
itm_green_dress|Robe verte
itm_green_dress_pl|Robes vertes
itm_khergit_lady_dress|Robe yalma
itm_khergit_lady_dress_pl|Robes yalma
itm_khergit_lady_dress_b|Robe yalma en cuir
itm_khergit_lady_dress_b_pl|Robes yalma en cuir
itm_sarranid_lady_dress|Robe de femme sarranide
itm_sarranid_lady_dress_pl|Robe de femme sarranide
itm_sarranid_lady_dress_b|Robe de femme sarranide
itm_sarranid_lady_dress_b_plRobe de femme sarranide
itm_sarranid_common_dress|Abaya
itm_sarranid_common_dress_pl|Abayas
itm_sarranid_common_dress_b|Abaya sombre
itm_sarranid_common_dress_b_pl|Abayas sombres
itm_courtly_outfit|Tenue élégante
itm_courtly_outfit_pl|Tenues élégantes
itm_nobleman_outfit|Tenue de noble
itm_nobleman_outfit_pl|Tenues de noble
itm_nomad_armor|Armure de nomade
itm_nomad_armor_pl|Armure de nomade
itm_khergit_armor|Armure khergit
itm_khergit_armor_pl|Armure khergit
itm_leather_jacket|Pourpoint en cuir
itm_leather_jacket_pl|Pourpoints en cuir
itm_rawhide_coat|Doublet de fourrure
itm_rawhide_coat_pl|Doublets de fourrure
itm_leather_armor|Cotte de cuir tanné
itm_leather_armor_pl|Cottes de cuir tanné
itm_fur_coat|Caftan de fourrure
itm_fur_coat_pl|Caftans de fourrure
itm_coat|Manteau
itm_coat_pl|Manteaux
itm_leather_coat|Manteau de cuir
itm_leather_coat_pl|Manteaux de cuir
itm_mail_coat|Cotte de mailles
itm_mail_coat_pl|Cottes de mailles
itm_long_mail_coat|Longue cotte de mailles
itm_long_mail_coat_pl|Longues cottes de mailles
itm_mail_with_tunic_red|Cotte de mailles avec surcot de joute
itm_mail_with_tunic_red_pl|Cottes de mailles avec surcots de joute
itm_mail_with_tunic_green|Cotte de mailles avec surcot de joute
itm_mail_with_tunic_green_pl|Cottes de mailles avec surcots de joute
itm_hide_coat|Manteau en peau
itm_hide_coat_pl|Manteaux en peau
itm_merchant_outfit|Tenue de marchand
itm_merchant_outfit_pl|Tenues de marchand
itm_homespun_dress|Robe filée à la main
itm_homespun_dress_pl|Robes filées à la main
itm_thick_coat|Manteau épais
itm_thick_coat_pl|Manteaux épais
itm_coat_with_cape|Manteau avec cape
itm_coat_with_cape_pl|Manteaux avec cape
itm_steppe_outfit|Tenue des steppes
itm_steppe_outfit_pl|Tenues des steppes
itm_nordic_outfit|Tenue nordique
itm_nordic_outfit_pl|Tenues nordiques
itm_nordic_armor|Armure nordique
itm_nordic_armor_pl|Armures nordiques
itm_hide_armor|Armure en peau
itm_hide_armor_pl|Armures en peau
itm_cloaked_tunic|Tunique drapée
itm_cloaked_tunic_pl|Tuniques drapées
itm_sleeveless_tunic|Tunique sans manches
itm_sleeveless_tunic_pl|Tuniques sans manches
itm_sleeveless_leather_tunic|Tunique de cuir sans manches
itm_sleeveless_leather_tunic_pl|Tuniques de cuir sans manches
itm_linen_shirt|Chainse de lin
itm_linen_shirt_pl|Chainses de lin
itm_wool_coat|Manteau en laine
itm_wool_coat_pl|Manteaux en laine
itm_dress|Robe
itm_dress_pl|Robes
itm_blue_dress|Robe bleue
itm_blue_dress_pl|Robes bleues
itm_peasant_dress|Robe de paysanne
itm_peasant_dress_pl|Robes de paysanne
itm_woolen_dress|Robe en laine
itm_woolen_dress_pl|Robes en laine
itm_shirt|Chainse
itm_shirt_pl|Chainses
itm_linen_tunic|Chainse de lin
itm_linen_tunic_pl|Chainses de lin
itm_short_tunic|Tunique verte
itm_short_tunic_pl|Tuniques vertes
itm_red_shirt|Chainse rouge
itm_red_shirt_pl|Chainses rouges
itm_red_tunic|Tunique rouge
itm_red_tunic_pl|Tuniques rouges
itm_green_tunic|Tunique verte
itm_green_tunic_pl|Tuniques vertes
itm_blue_tunic|Tunique bleue
itm_blue_tunic_pl|Tuniques bleues
itm_robe|Robe
itm_robe_pl|Robes
itm_coarse_tunic|Bliaut
itm_coarse_tunic_pl|Bliauts
itm_leather_apron|Tablier de cuir
itm_leather_apron_pl|Tabliers de cuir
itm_tabard|Tabard
itm_tabard_pl|Tabards
itm_leather_vest|Gilet en cuir
itm_leather_vest_pl|Gilets en cuir
itm_steppe_armor|Pansière lamellée cuir
itm_steppe_armor_pl|Pansières lamellées cuir
itm_gambeson|Gambison
itm_gambeson_pl|Gambisons
itm_blue_gambeson|Gambison bleu
itm_blue_gambeson_pl|Gambisons bleus
itm_red_gambeson|Gambison rouge
itm_red_gambeson_pl|Gambisons rouges
itm_padded_cloth|Jaque
itm_padded_cloth_pl|Jaques
itm_aketon_green|Doublet armant
itm_aketon_green_pl|Doublets armant
itm_leather_jerkin|Cotte de cuir huilé
itm_leather_jerkin_pl|Cottes de cuir huilé
itm_nomad_vest|Caftan de cuir
itm_nomad_vest_pl|Caftans de cuir
itm_ragged_outfit|Cotte à bretelle
itm_ragged_outfit_pl|Cottes à bretelle
itm_padded_leather|Cotte de cuir matelassée
itm_padded_leather_pl|Cottes de cuir matelassées
itm_tribal_warrior_outfit|Cuirasse de cuir
itm_tribal_warrior_outfit_pl|Cuirasses de cuir
itm_nomad_robe|Cotte de canevas et cuir
itm_nomad_robe_pl|Cottes de canevas et cuir
itm_studded_leather_coat|Broigne en cuir
itm_studded_leather_coat_pl|Broignes en cuir
itm_byrnie|Haubergeon
itm_byrnie_pl|Haubergeons
itm_haubergeon|Haubergeon riveté
itm_haubergeon_pl|Haubergeons rivetés
itm_lamellar_vest|Plastron lamellaire
itm_lamellar_vest_pl|Plastrons lamellaire
itm_lamellar_vest_khergit|Plastron lamellaire
itm_lamellar_vest_khergit_pl|Plastrons lamellaires
itm_mail_shirt|Haubert
itm_mail_shirt_pl|Hauberts
itm_mail_hauberk|Haubert riveté
itm_mail_hauberk_pl|Hauberts rivetés
itm_mail_with_surcoat|Cotte de mailles et surcot
itm_mail_with_surcoat_pl|Cottes de mailles et surcots
itm_surcoat_over_mail|Cotte de mailles et surcot doublé
itm_surcoat_over_mail_pl|Cottes de mailles et surcots doublés
itm_brigandine_red|Brigandine
itm_brigandine_red_pl|Brigandines
itm_lamellar_armor|Cuirasse lamellaire
itm_lamellar_armor_pl|Cuirasses lamellaires
itm_scale_armor|Cuirasse d'écailles
itm_scale_armor_pl|Cuirasses d'écailles
itm_banded_armor|Cotte de mailles et tabard de broigne
itm_banded_armor_pl|Cottes de mailles et tabards de broigne
itm_cuir_bouilli|Cotte de mailles et tabard de cuir bouilli
itm_cuir_bouilli_pl|Cottes de mailles et tabards de cuir bouilli
itm_coat_of_plates|Cotte de mailles et cuirasse de plates
itm_coat_of_plates_pl|Cottes de mailles et cuirasses de plates
itm_coat_of_plates_red|Cotte de mailles et cuirasse de plates
itm_coat_of_plates_red_pl|Cottes de mailles et cuirasses de plates
itm_plate_armor|Armure de plates
itm_plate_armor_pl|Armures de plates
itm_black_armor|Armure noire
itm_black_armor_pl|Armures noires
itm_pelt_coat|Doublet de fourrure
itm_pelt_coat_pl|Doublets de fourrure
itm_khergit_elite_armor|Armure composite khatangku-dehel
itm_khergit_elite_armor_pl|Armure composites khatangku-dehel
itm_vaegir_elite_armor|Armure composite ritter
itm_vaegir_elite_armor_pl|Armures composites ritter
itm_sarranid_elite_armor|Armure composite sayfiya
itm_sarranid_elite_armor_pl|Armures composites sayfiya
itm_sarranid_dress_a|Robe en futaine
itm_sarranid_dress_a_pl|Robes en futaine
itm_sarranid_dress_b|Robe en futaine
itm_sarranid_dress_b_pl|Robes en futaine
itm_sarranid_cloth_robe|Qabâ
itm_sarranid_cloth_robe_pl|Qabâs
itm_sarranid_cloth_robe_b|Qabâ sombre
itm_sarranid_cloth_robe_b_pl|Qabâs sombres
itm_skirmisher_armor|Hoqueton avec pansière de cuir
itm_skirmisher_armor_pl|Hoquetons avec pansières de cuir
itm_archers_vest|Qarqal
itm_archers_vest_pl|Qarqals
itm_sarranid_leather_armor|Qarqal en cuir
itm_sarranid_leather_armor_pl|Qarqals en cuir
itm_sarranid_cavalry_robe|Dir' et burnous
itm_sarranid_cavalry_robe_pl|Dir' et burnous
itm_arabian_armor_b|Dir' et plastron jawshan
itm_arabian_armor_b_pl|Dir' et plastrons jawshan
itm_sarranid_mail_shirt|Jazeran et burnous en soie
itm_sarranid_mail_shirt_pl|Jazerans et burnous en soie
itm_mamluke_mail|Korazin
itm_mamluke_mail_pl|Korazins
itm_burlap_tunic|Chainse en toile de jute
itm_burlap_tunic_pl|Chainses en toile de jute
itm_heraldic_mail_with_surcoat|Cotte de mailles et longue cotte d'armes
itm_heraldic_mail_with_surcoat_pl|Cottes de mailles et longues cottes d'armes
itm_heraldic_mail_with_tunic|Cotte de mailles et cotte d'armes
itm_heraldic_mail_with_tunic_pl|Cottes de mailles et cottes d'armes
itm_heraldic_mail_with_tunic_b|Cotte de mailles avec canons d'avant-bras et cotte d'armes
itm_heraldic_mail_with_tunic_b_pl|Cottes de mailles avec canons d'avant-bras et cottes d'armes
itm_heraldic_mail_with_tabard|Cotte de mailles avec spalières et cotte d'armes
itm_heraldic_mail_with_tabard_pl|Cottes de mailles avec spalières et cottes d'armes
itm_turret_hat_ruby|Touret
itm_turret_hat_ruby_pl|Tourets
itm_turret_hat_blue|Touret
itm_turret_hat_blue_pl|Tourets
itm_turret_hat_green|Barbette
itm_turret_hat_green_pl|Barbettes
itm_head_wrappings|Châle
itm_head_wrappings_pl|Châles
itm_court_hat|Touret
itm_court_hat_pl|Tourets
itm_wimple_a|Guimpe
itm_wimple_a_pl|Guimpes
itm_wimple_with_veil|Guimpe avec foulard
itm_wimple_with_veil_pl|Guimpes avec foulard
itm_straw_hat|Chapeau de paille
itm_straw_hat_pl|Chapeaux de paille
itm_common_hood|Capuchon
itm_common_hood_pl|Capuchons
itm_hood_b|Capuchon mi-partie
itm_hood_b_pl|Capuchons mi-partie
itm_hood_c|Capuchon mi-partie
itm_hood_c_pl|Capuchons mi-partie
itm_hood_d|Capuchon
itm_hood_d_pl|Capuchons
itm_headcloth|Chaperon roulé
itm_headcloth_pl|Chaperons roulés
itm_woolen_hood|Capuchon de laine
itm_woolen_hood_pl|Capuchons de laine
itm_arming_cap|Cale matelassée
itm_arming_cap_pl|Cales matelassées
itm_fur_hat|Toque en fourrure
itm_fur_hat_pl|Toques en fourrure
itm_nomad_cap|Toque chapka
itm_nomad_cap_pl|Toques chapka
itm_nomad_cap_b|Toque kazakh
itm_nomad_cap_b_pl|Toques kazakh
itm_steppe_cap|Casque en cuir ornementé
itm_steppe_cap_pl|Casques en cuir ornementés
itm_padded_coif|Cale rembourrée
itm_padded_coif_pl|Cales rembourrées
itm_woolen_cap|Bonnet de laine
itm_woolen_cap_pl|Bonnets de laine
itm_felt_hat|Chapeau de feutre
itm_felt_hat_pl|Chapeaux de feutre
itm_felt_hat_b|Galeron
itm_felt_hat_b_pl|Galerons
itm_leather_cap|Cale en cuir
itm_leather_cap_pl|Cales en cuir
itm_female_hood|Capuchon de dame
itm_female_hood_pl|Capuchons de dame
itm_leather_steppe_cap_a|Bonnet scythe
itm_leather_steppe_cap_a_pl|Bonnets scythe
itm_leather_steppe_cap_b|Casque de cuir avec arceau de fer
itm_leather_steppe_cap_b_pl|Casques de cuir avec arceaux de fer
itm_leather_steppe_cap_c|Casque en cuir ornementé
itm_leather_steppe_cap_c_pl|Casques en cuir ornementés
